epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.52067,2.00617,3.81915,2.15706,0.00215,0.73333,0.13174,0.05977,1.73913,3.59032,2.273,2.858e-05,2.858e-05,2.858e-05
2,2.1383,1.87416,3.86097,2.0448,0.00216,0.73333,0.1386,0.06351,1.72184,3.57409,2.21757,7.04395e-05,7.04395e-05,7.04395e-05
3,2.75826,1.63117,3.64085,1.82642,0.00201,0.66667,0.24961,0.18615,1.27431,3.43844,1.73483,0.000111086,0.000111086,0.000111086
4,3.55385,1.2263,3.27002,1.51223,0.00251,0.73333,0.58213,0.44743,1.05106,3.2369,1.40242,0.000150521,0.000150521,0.000150521
5,4.28078,1.03764,2.56238,1.37156,0.00238,0.66667,0.66333,0.48182,1.01696,3.08171,1.27868,0.000188742,0.000188742,0.000188742
6,5.04978,1.02715,2.0608,1.32676,0.00229,0.66667,0.66333,0.50037,0.97263,2.94868,1.24533,0.000225751,0.000225751,0.000225751
7,5.73009,0.97752,1.83797,1.29083,0.00214,0.66667,0.66333,0.54258,0.85999,2.99179,1.21155,0.000261548,0.000261548,0.000261548
8,6.41117,0.96684,1.56536,1.2805,0.00238,0.73333,0.66356,0.54417,0.79717,3.0084,1.18141,0.000296132,0.000296132,0.000296132
9,7.10927,0.99913,1.60999,1.25191,0.00266,0.8,0.66377,0.58613,0.73107,3.00659,1.12478,0.000329503,0.000329503,0.000329503
10,7.79261,0.98695,1.58422,1.23393,0.00235,0.73333,0.66352,0.54039,0.76236,2.93057,1.14196,0.000361662,0.000361662,0.000361662
11,8.47391,0.88194,1.42263,1.19643,0.00204,0.66667,0.66333,0.56386,0.86833,2.81247,1.21296,0.000392608,0.000392608,0.000392608
12,9.19123,0.90425,1.50373,1.24839,0.75871,0.66667,0.66333,0.55191,0.92872,2.75564,1.27158,0.000422341,0.000422341,0.000422341
13,9.86562,0.99634,1.44283,1.25426,0.95576,0.65907,0.66333,0.52103,0.98761,2.70418,1.31588,0.000450862,0.000450862,0.000450862
14,10.5521,0.96309,1.41899,1.17923,0.96339,0.65628,0.66439,0.48566,1.1043,2.71204,1.34697,0.00047817,0.00047817,0.00047817
15,11.2427,0.88901,1.40726,1.22619,0.95038,0.33333,0.66455,0.52447,1.16971,2.72796,1.42425,0.000504266,0.000504266,0.000504266
16,11.9132,0.90782,1.45103,1.17176,0.95305,0.33333,0.66472,0.53896,1.01582,2.7484,1.34379,0.000529148,0.000529148,0.000529148
17,12.5978,0.86295,1.38636,1.1494,0.95264,0.55497,0.6674,0.55102,0.88751,2.58133,1.22742,0.000552819,0.000552819,0.000552819
18,13.2607,0.85769,1.42597,1.21267,0.97733,0.65528,0.67094,0.5221,0.92559,2.47122,1.25459,0.000575277,0.000575277,0.000575277
19,13.9221,0.89588,1.29022,1.1894,0.93374,0.66496,0.66858,0.53343,0.933,2.4145,1.24692,0.000596522,0.000596522,0.000596522
20,14.5841,0.85967,1.28158,1.14904,0.92057,0.66667,0.71553,0.49125,1.0052,2.44356,1.30922,0.000616554,0.000616554,0.000616554
21,15.2358,0.84438,1.33365,1.16486,0.91664,0.66667,0.83836,0.5653,1.03193,2.31041,1.33541,0.000635374,0.000635374,0.000635374
22,15.9499,0.86641,1.23199,1.15083,0.95282,0.66667,0.83872,0.6273,0.93674,2.23606,1.24609,0.000652982,0.000652982,0.000652982
23,16.6417,0.82395,1.20016,1.13283,0.97439,0.66667,0.98389,0.75026,0.9064,2.07798,1.24274,0.000669376,0.000669376,0.000669376
24,17.3064,0.81576,1.19382,1.14927,0.86993,0.66667,0.995,0.73767,1.03915,1.9728,1.3825,0.000684558,0.000684558,0.000684558
